"Word"	"Pronunciation"	"Audio"	"Parts Of Speech"	"Meaning"	"Examples"	"Picture"	"Word Reference"
"abase"	"abase.ipa"	"abase.mp3"	"V."	"lower; degrade; humiliate"	"Anna expected to have to curtsy to the King of Siam; when told to cast herself down on the ground before him, however, she refused to abase herself.abasement, N"	"abase.png"	"https://www.wordreference.com/definition/abase"
"abash"	"abash.ipa"	"abash.mp3"	"V."	"embarrass"	"He was not at all abashed by her open admiration"	"abash.png"	"https://www.wordreference.com/definition/abash"
"abate"	"abate.ipa"	"abate.mp3"	"V."	"subside or moderate"	"Rather than leaving immediately, they waited for the storm to abate"	"abate.png"	"https://www.wordreference.com/definition/abate"
"abbreviate"	"abbreviate.ipa"	"abbreviate.mp3"	"V."	"shorten"	"Because we were running out of time, the lecturer had to abbreviate her speech"	"abbreviate.png"	"https://www.wordreference.com/definition/abbreviate"
"abdicate"	"abdicate.ipa"	"abdicate.mp3"	"V."	"renounce; give up"	"When Edward VIII abdicated the British throne, he surprised the entire world"	"abdicate.png"	"https://www.wordreference.com/definition/abdicate"
"aberrant"	"aberrant.ipa"	"aberrant.mp3"	"ADJ."	"abnormal or deviant"	"Given the aberrant nature of the data, we came to doubt the validity of the entire experiment"	"aberrant.png"	"https://www.wordreference.com/definition/aberrant"
"aberration"	"aberration.ipa"	"aberration.mp3"	"N"	""	"It remains the consensus among investors on Wall Street that current high oil prices are a temporary aberration and that we shall soon see a return to cheap oil"	"aberration.png"	"https://www.wordreference.com/definition/aberration"
"abet"	"abet.ipa"	"abet.mp3"	"V."	"assist, usually in doing something wrong; encourage"	"She was unwilling to abet him in the swindle he had planned"	"abet.png"	"https://www.wordreference.com/definition/abet"
"abeyance"	"abeyance.ipa"	"abeyance.mp3"	"N."	"suspended action"	"Hostilities between the two rival ethnic groups have been in abeyance since the arrival of the United Nations peacekeeping force last month"	"abeyance.png"	"https://www.wordreference.com/definition/abeyance"
"abhor"	"abhor.ipa"	"abhor.mp3"	"V."	"detest; hate"	"She abhorred all forms of bigotry.abhorrence, N"	"abhor.png"	"https://www.wordreference.com/definition/abhor"
"abjure"	"abjure.ipa"	"abjure.mp3"	"abjure"	"v"	"Pressure from university authorities caused the young scholar to abjure his heretical opinions.abjuration, N"	"abjure.png"	"https://www.wordreference.com/definition/abjure"
"abolish"	"abolish.ipa"	"abolish.mp3"	"V."	"cancel; put an end to"	"The president of the college refused to abolish the physical education requirement.abolition, N"	"abolish.png"	"https://www.wordreference.com/definition/abolish"
"abominable"	"abominable.ipa"	"abominable.mp3"	"ADJ."	"detestable; extremely unpleasant; very bad"	"Mary liked John until she learned he was also dating Susan; then she called him an abominable young man, with abominable taste in women"	"abominable.png"	"https://www.wordreference.com/definition/abominable"
"abortive"	"abortive.ipa"	"abortive.mp3"	"ADJ."	"unsuccessful; fruitless"	"Attacked by armed troops, the Chinese students had to abandon their abortive attempt to democratize Beijing peacefully.abort, v"	"abortive.png"	"https://www.wordreference.com/definition/abortive"
"abrasive"	"abrasive.ipa"	"abrasive.mp3"	"ADJ."	"rubbing away; tending to grind down"	"Just as abrasive cleaning powders can wear away a shiny finish, abrasive remarks can wear away a listener&rsquo;s patience.abrade, v"	"abrasive.png"	"https://www.wordreference.com/definition/abrasive"
"abridge"	"abridge.ipa"	"abridge.mp3"	"V."	"condense or shorten"	"Because the publishers felt the public wanted a shorter version of War and Peace, they proceeded to abridge the novel"	"abridge.png"	"https://www.wordreference.com/definition/abridge"
"abrogate"	"abrogate.ipa"	"abrogate.mp3"	"V."	"abolish"	"Responding to conservative attacks against an outspoken radical professor, the dean pledged to resist such attempts to abrogate academic freedom"	"abrogate.png"	"https://www.wordreference.com/definition/abrogate"
"abscond"	"abscond.ipa"	"abscond.mp3"	"V."	"depart secretly and hide"	"The teller who absconded with the bonds went uncaptured until someone recognized him from his photograph on America&rsquo;s Most Wanted"	"abscond.png"	"https://www.wordreference.com/definition/abscond"
